Date,Campaign type,Campaign name,Ad set name,Model,Unique leads,Cost,Clicks (all),CPC (all),Link clicks,CPC (cost per link click),Impressions,Reach,Unique clicks (all),CPM (cost per 1000 impressions),Cost per action (CPA),Inversion Planeada,CPL proyectado,Meta Leads,Meta Conversaciones,Meta Clicks,CPC proyectado,Meta Seguidores,CPS proyectado,Meta interacciones,CPE Proyectado,Meta Alcance,CPA alcance proyectado,CPMA proyectado,CPA proyectado
2024-09-03,PERFORMANCE,13 Leads_Whatsapp_HMC_Marca_CPC_CLI_POST_SEPTIEMBRE_FB$3.500.000,WHATSAPP_XR 190L,Whatsapp General,0,11289,87,129.76,46,245.41,1486,1154,72,7596.9,46.46,3500000.0,0.0,0.0,3540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,989.0
2024-09-04,BRANDING,Branding_HMC_CB-125F_CPC_CLI_POST_septiembre2024_FB_$4788679,Intereses_Nacional,CB-125F,0,172175,3219,53.49,2169,79.38,287927,216437,2907,597.98,24.85,4788679.0,0.0,0.0,0.0,52514.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-04,BRANDING,Branding_HMC_CB100BONBONBUM_CPC_CLI_CARRUSEL_AGOSTOFB_$21.000.000,Branding_HMC_CIUDADES_PRINCIPALES_CB100BONBONBUM_CPC_CLI_CARRUSEL_AGOSTOFB_$21.000.000,,0,124990,2568,48.67,1912,65.37,135398,73966,2267,923.13,15.47,,,,,,,,,,,,,,
2024-09-04,BRANDING,Branding_HMC_CB100BONBONBUM_CPC_CLI_CARRUSEL_AGOSTOFB_$21.000.000,Branding_HMC_CIUDADES_RESTO_DEL_PAÍS_CB100BONBONBUM_CPC_CLI_CARRUSEL_AGOSTOFB_$21.000.000 - Copia,,0,259312,5134,50.51,3989,65.01,270819,136626,4511,957.51,13.84,,,,,,,,,,,,,,
2024-09-04,BRANDING,Branding_HMC_CB100BONBONBUM_CPC_CLI_CARRUSEL_AGOSTOFB_$21.000.000,Branding_HMC_CIUDADES_SECUNDARIAS_CB100BONBONBUM_CPC_CLI_CARRUSEL_AGOSTOFB_$21.000.000 -,,0,25859,509,50.8,394,65.63,28692,13080,442,901.26,15.15,,,,,,,,,,,,,,
2024-09-04,BRANDING,Branding_HMC_CB100_CPC_CLI_POST_SEPTIEMBRE_FB_$3000000,CB100_CPC_CLI_POST_DOMICILIARIO,DOMICILIARIOS + MOTOTAXISTAS+INDEPENDIENTES,0,80834,1586,50.97,1487,54.36,38254,33546,1545,2113.09,17.99,2500000.0,0.0,0.0,0.0,39683.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-04,BRANDING,Branding_HMC_CB100_CPC_CLI_POST_SEPTIEMBRE_FB_$3000000,CB100_CPC_CLI_POST_INDEPENDIENTE,DOMICILIARIOS + MOTOTAXISTAS+INDEPENDIENTES,0,315,12,26.25,11,28.64,312,293,11,1009.62,9.55,2500000.0,0.0,0.0,0.0,39683.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-04,BRANDING,Branding_HMC_CB100_CPC_CLI_POST_SEPTIEMBRE_FB_$3000000,CB100_CPC_CLI_POST_MOTOTAXI,DOMICILIARIOS + MOTOTAXISTAS+INDEPENDIENTES,0,7070,186,38.01,133,53.16,7690,6063,171,919.38,17.59,2500000.0,0.0,0.0,0.0,39683.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-04,BRANDING,Branding_HMC_CB100_CPE_INT_POST_SEPTIEMBRE4_FB_$1500000,CB100_CPE_INT_DOMICILIARIOS,DOMICILIARIO,0,40532,451,89.87,31,1307.48,7573,6538,438,5352.17,17.5,580000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2417.0,240.0,0.0,0.0,0.0,0.0
2024-09-04,BRANDING,Branding_HMC_CB100_CPE_INT_POST_SEPTIEMBRE4_FB_$1500000,CB100_CPE_INT_INDEPENDIENTE,INDEPENDIENTE,0,5289,75,70.52,14,377.79,1906,1758,71,2774.92,15.74,340000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2267.0,150.0,0.0,0.0,0.0,0.0
2024-09-04,BRANDING,Branding_HMC_CB100_CPE_INT_POST_SEPTIEMBRE4_FB_$1500000,CB100_CPE_INT_MOTOTAXISTA,MOTOTAXISTAS,0,4818,55,87.6,6,803.0,1537,1392,55,3134.68,17.09,580000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15263.0,38.0,0.0,0.0,0.0,0.0
2024-09-04,BRANDING,Branding_HMC_CB300F_CPE_INT_POST_Septiembre_2024_FB_$4754717,CB300F Feb Intereses Col,CB300F,0,177508,6250,28.4,3009,58.99,293328,225286,5382,605.15,18.28,4754717.0,0.0,0.0,0.0,101868.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-04,BRANDING,Branding_HMC_DIO-DLX_CPC_CLI_POST_SEPTIEMBRE_2024_FB_ $ 896.227,Brand Intereses DIO DLX,DIO-DLX,0,15864,98,161.88,46,344.87,10382,9253,82,1528.03,96.73,896227.0,0.0,0.0,0.0,2212.0,405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-04,BRANDING,Branding_HMC_DIO-STD_CPC_CLI_POST_SEPTIEMBRE_2024_FB_ $ 896.227,LED_STD_CPE_TRÁFICO_POST LAL TRAFICO SEPTIEMBRE 2024,DIO-STD,0,31557,887,35.58,525,60.11,24752,19129,711,1274.93,19.04,896227.0,0.0,0.0,0.0,16647.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-04,BRANDING,Branding_HMC_Marca_CPF_SEGUIDORES_POST_SEPTIEMBRE_2024_FB_ $ 1.886.792,Intereses Col,SEGUIDORES,0,65432,432,151.46,7,9347.43,57882,44874,425,1130.44,2.15,1886792.0,0.0,0.0,0.0,0.0,0.0,2165.0,453.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-04,BRANDING,Branding_HMC_NAVI_CPC_CLI_POST_Septiembre_2024_FB_$3373585,Brand Intereses Navi,NAVI,0,113529,1691,67.14,1497,75.84,258527,106861,1614,439.14,24.78,3373585.0,0.0,0.0,0.0,36008.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-04,BRANDING,Branding_HMC_PCX-160_Trafico_CPC_CLI_POST_Septiembre_2024_FB_$3373585_25157,PCX 160 INTERESES  AGOSTO 2023,PCX-160,0,35016,608,57.59,461,75.96,52278,30007,560,669.8,24.54,3373585.0,0.0,0.0,0.0,42465.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-04,BRANDING,Branding_HMC_PCX-160_Trafico_CPC_CLI_POST_Septiembre_2024_FB_$3373585_25157,PCX 160 LAL TRAFICO AGOSTO 2023,PCX-160,0,83169,1497,55.56,1011,82.26,93717,69614,1332,887.45,26.05,3373585.0,0.0,0.0,0.0,42465.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
